video_id,transcript
Rm8tLh5_JHw,"[Música]
[Música]
Cómo llevamos el
maletero buah yo no lo veo tipa eh 3:30
de la mañana partimos a Tom L y nada a
ver qué para Bélgica aniversario de
tomor ronan y nos vamos Pues mano mano
tipa eh
Elo carro volvera [ __ ] locura 18 horas
de viaje unos 14 km50 km pero que va a
ser genial va ser nuestro mejor viaje
llegamos ahí a cenar V Vámonos nos vamos
sin
pagar otro [ __ ] peaje no me lo puedo
creer Cuántos peajes llevamos Ya tío
se horrible
Qué dice me ha tragado como 10 pavos ha
tragado
show nada Por fin en nuestra ciudad
favorita
los franceses o sea confirmo y
Confirmamos que no les gusta nada los
españoles dato importante en
Francia poco inglés no paséis por aquí
no no es recomendable venir aquí estamos
a menos de una hora de llegar Cómo vas
yo me esperaba estar más reventado de lo
que estoy la verdad que un viaje un
viaje detenido con con trigo
sabes ran
[Música]
not
[Aplausos]
[Música]
[Risas]
[Música]
toda esta gente está esperando a
recuperar alguna de sus cosas que ha
perdido por aquí o a [ __ ] alguna que no
suya
[Música]
es tu primer año o no s la primera vez
el compañero en la tercera Entonces nos
convenció y ya cumplíamos los 30 años
todos y dijimos vamos para
pltano porque somos
canarios tenos el pltano de
canari recomiendas algún as bueno para
ir hoy hoy en
elage creo que están los tres
[Aplausos]
k
[Música]
[Música]
prof
[Música]
aquí
[Música]
[Aplausos]
[Música]
[Aplausos]
[Música]
[Aplausos]
[Música]
[Música]
[Música]
tak a
mí para
m te Pio tamb mí
[Música]
[Música]
do
[Música]
[Música]
[Aplausos]
[Música]
[Música]
Qué locura
y se encuentra una
mujer dentro de
unario Hola buenos días para comer algún
sitio aquí cerca sabe usted
[Música]
[Música]
[Música]
we love
you si puedo tratarte como a una de
ellas mi vi
[Música]
[Aplausos]
[Música]
[Música]
los than
[Aplausos]"
kgTYQZ5Jomc,
P4QkRR5mkmg,"por aquella risa de mis castañuelas por
mis taconcitos hechos de cristal por la
sangre Mora que corre en mis penas yo
puedo
jurarlo todo me era
igual me enamoré
[Música]
B
[Música]
amor
baga
[Aplausos]"
iW_zbg8sxSQ,"[Música]
hoy os traigo un vídeo bastante especial
os voy a contar una etapa de mi vida que
nunca he hecho pública en internet y
tengo bastantes ganas de contar quizás a
alguien le sirve no sé si alguno de
vosotros está en ese momento de la vida
que no sabe si dar un paso Si tiene
alguna idea en la cabeza y quiere llevar
un proyecto a cabo Bueno yo os voy a
contar mi experiencia y espero que a
alguien le sirva no me he preparado
ningún guion Porque soy un perro ya lo
sabéis seguro que se me olvidan 1
anécdotas Y mil detalles pero bueno si
tenéis alguna duda sobre lo que voy a
contar os leo en comentarios y os
responderé por suerte En aquellos años
ya tenía cámara Así que hay imágenes os
iré poniendo imágenes y os voy contando
de qué va esto están entrando una ganas
de [ __ ] nos remontamos a 2007 2008 yo
para aquel entonces estaba trabajando en
una gasolinera en el turno de noche y
tenía mucho tiempo libre para pensar
este trabajo lo compaginaba también con
el mundo del disjokey la cosa es que
tengo varios amigos que nos dedicábamos
a lo mismo y entre nosotros nos picá con
los vinilos que teníamos Claro tú ibas a
comprar vinilos a la tienda y en cuanto
se acababa se acabó había ediciones muy
limitadas y si no llegabas a comprarlo
pues te lo perdías y no lo podías
conseguir de ninguna forma y en una de
esas duras noches de trabajo Se me
encendió la bombilla Y pensé [ __ ] tiene
que haber alguna manera de copiar
vinilos yo conocía la técnica de
planchado que creo que es la que se
sigue utilizando actualmente que
consiste a través de un máster se hace
un molde Y a partir de ahí todas las
copias estuve investigando esta opción
pero no compensaba porque esto se
utiliza para hacer series grandes
tiradas grandes de vinilos lo que
buscaba era hacer un un solo vinilo o lo
que sería el máster Así que después de
horas y horas investigando por internet
a un mega de velocidad encontré una
persona en Alemania que fabricaba
máquinas totalmente caseras que hacían
esto precisamente le contacté por mail
estuvimos meses hablando Me resolvió
dudas y me dejó todo claro cómo
funcionaba ese aparato en el transcurso
de ese tiempo se me ocurrió proponérselo
a un socio a un amigo que a día de hoy
sigue siéndolo es uno de mis mejores
amigos y se apuntó prácticamente sin
pensárselo está igual de loco que yo el
cabrón ya una vez con la empresa montada
cogimos cinco
cada uno que costaba aproximadamente
10000 cogimos el coche y nos fuimos a
Alemania por la [ __ ]
máquina estamos aquí en
lonos derecha izquierda dónde reo
izquierda cuando los GPS costaban un
riñón y medio Pues no te podías permitir
uno y tenías que tirar de mapa Así que
nada con unas anotaciones sacadas de
Google y con un mapa llegamos a un
pueblo
anun aventurillas caml
Oh my
[Música]
God Imagínate que nos secuestra y nos
tiene ahí una silla y de repente nos
empieza ñar empezar
losé miedo [ __ ] qu apartados dentro
dejo fuera pero no puede cortar los
setos el
desgraciado Ya en casa del alemán solo
nos quedaba aprender usar la máquina que
Aunque parezca algo muy sencillo de
utilizar [ __ ] tenía una complejidad
bastante
[Aplausos]
[Música]
grande uno de los mayores problemas que
podíamos tener es con el copyright ahora
no sé cómo estarán las leyes en este
aspecto que seguro que han cambiado pero
antes tú tenías una copia original
podías pasarla a otros formatos por
ejemplo a un cassette totalmente legal
Así que tiramos por ahí por supuesto
cada cliente nos firmaba un contrato en
el que él aseguraba que tenía la copia
original y eso era una copia de
respaldo y Ahí pasamos dos días
Aprendiendo a usarla y conociendo todos
sus
secretos estos son los bril los que
hemos grabado hoy al final hemos
aprendido a
grabarlo esta con el tubo que
supuestamente lo tengos a montar
nosotros y va a ser una movida que te
cagas Esto va Maderas no tenemos no eh
esas Maderas no hace falta No mientras
jeso investigado dónde van todos esos
fusibles van dos ramificaciones y esta
[ __ ] qué Ya ya ya y esto por qué ya ya
ahora preguntamos aí ya pero luego
estaremos en spine y bueno os voy a
contar cómo fue el negocio Cómo
evolucionó y cómo terminó la máquina A
pesar de que era s sencilla de utilizar
tenía muchas complejidades para que
sonara bien realmente un vinilo tenías
que controlar muchísimo las frecuencias
en fin era una auténtica
locura ya ya ya ya también el tema de
los repuestos porque cada vez que se
rompía la agujita que llevaba de
diamante que rascaba el vinilo 300 pavos
y claro esa aguja se te podía romper al
vinilo grabado número 50 o al vinilo
número dos de ahí venía uno de los
quebraderos de cabeza más grandes que
teníamos con esa empresa This is Okay
This is Okay This is Okay but not
Okay sí que es cierto que mientras
mantuvimos la empresa funcionó bastante
bien llegamos a grabar cientos de
vinilos y teníamos una clientela
bastante sólida pero claro era un [ __ ]
cada uno teníamos nuestro trabajo y
echar el tiempo libre en algo que
tampoco te daba mucho dinero pues hizo
que nos desci de ella y la verdad que
nos salió bastante bien la jugada porque
la vendimos a una persona muy interesada
por unos 30.000 casi le hicimos un por
tres con toda la clientela el nombre de
marca y demás Incluso si hubiéramos
perdido esos 5000 cada uno habría
merecido la pena okay
Okay lo que os comentaba antes si estáis
en una situación similar de Ay sí pero
no echarle [ __ ] Hacedme caso y tirar
para adelante porque la experiencia que
os va a dar eso no se paga con dinero
amigos a ver un pedo contest
[ __ ] Se me olvidaba comentaros Cómo
fue nuestra campaña de marketing
imprimimos unos carteles y con nuestras
pelotas los pegamos por toda
Zaragoza y este es el cartel que a día
de hoy consero con mucho cariño en el
cartel queríamos plasmar que el Homo
Sapiens que era el dis joke estaba por
encima del homo erectus
[Música]
H
[Música]
[Música]
el
amplificador vi con amplificador
claro enc unn cable que coincida con
esoo bien ningún sitio porque es un poco
Tonto mi inglés es
perfecto an"
S7t7aVjJiXM,"Hola muy buenas tardes ustedes no sabrán
por casualidad algún sitio de fiesta en
estos mismos momentos de fiestas sí que
pongan bumba bumba del
Bueno conocéis al a las 738 minutos s un
after por ejemplo tengo aquí al que está
calentito ya está aquí dándole vamos una
festival Claro claro claro montad aquí
al coche de la fiesta Cómo podemos salir
a tu mor desde aquí idea no tengo ni
idea que no s ni dónde está tu mor es
Bélgica no estaba por Bélgica pero no me
baje la música [ __ ] Perdona el di que
está muy nervioso sabes cómo salir a
Bélgica por aquí es que no conduzco no
tengo ni ide madre del amor
hermoso no habrás visto por casualidad a
un tío pelado con tatuajes por aquí por
el cuco tío con la discoteca montada
[Música]
aquí
estáis montando el equipazo de música o
qué os echamos una mano estamos aquí con
unos
temazos Dale
[Música]
dale pas Perdona Ya lo he pasado te
echamos una mano te lo instalamos
momentáneamente rápido
[Música]
eh
[Música]
Oye perdonad una pregunta no habréis
visto por casualidad un tío tatuado con
cara es que hemos quedado con él para
irnos a la scorpia y no os apetece
veniros de fiesta que no faltan
dosas seguro aquí el di yoke está
poniendo unos temas que Bueno lo creo lo
n seguro Seguro seguro Eh busco un acter
que me dijo mi primo el Johnny que había
por aquí un
rers Cómo se LL buf no tengo ni idea
esto es el parque Residencial valenciano
de
ort el parque Residencial que se ha
reído el dis Es una
broma
[Música]
mir una
bromica
are you
[Música]
[Aplausos]
ready"
88d0FCjKdMQ,
7YHzkvvjqMs,
543e7z-hnMU,"[Música]
voy a bajar la octava
[Música]
bajo vale se está grabando mi nombre
legal en el dni es Javier gustard hoy
Porque muchos se sorprenden luego pero
me llaman Franky de toda la vida empecé
en la música hace mogollón de años y
hasta hace 6 años no me embarqué como
profesionalmente
en el mundo de la música como tal no en
la producción de instrumentales que es a
lo que me dedico producción de música
electrónica grabación y mezcla y Master
así as que hasta que Hemos llegado con
sudor pero con mucha diversión eso sí
que es verdad has grabado con artistas
bastante reconocidos k kan bueno grabado
eso se grabó Madrid lo grabaron en su
estudio con garcy aquí se realizó la
edición la mezcla y el mastering y a
veces coproducción vamos porque es lo
que hablamos en el disco de Kid fue como
una locura fue toda una semana y claro
hicimos todo como muy muy embuchado y
tuvimos que hacer Incluso coproducción
en el estudio fue muy Guay y así fue un
disco muy muy escuchado también con
glito con rico Rosa que me trajo ahí El
pequeño ya Pro que fue muy Guay con
china Mora que lo está petando ahora en
la escena del tecno además que ha salido
un poquito del urbano se ha ido para
allá H roto Adri que es muy colega y y
es un pedazo de amor y bien nos hemos
movido no nos quejamos Cómo es grabar
con un artista me imagino que habrá de
todo tipo No sí
es 20% técnica 80%
psicología es verdad es verdad porque
claro esto lo hablo con muchos
compañeros que se dedican en la
industria de la música no a todo esto
del tracking que llam grabar y todo esto
si un artista por ejemplo está en la
sesión igual está frío o igual no entona
o igual tal Sí que hacemos varias tomas
una técnica que se llama compin audio y
luego cogemos como las mejores no O
igual la toma uno es increíble Pero ha
fallado esta palabra La cogemos de la
toma dos o el final de la tres y cosas
así igual si ha desafinado tú no le
puedes cortar al artista decir Oye esto
está desafinado vuélvemelo a repetir en
el momento en que tú dices eso ese
artista para el resto de la sesión ya se
ha caído mucha psicología no te voy a
decir mucha paciencia porque es algo que
nos encanta hacer y es algo muy
divertido son experiencias que conoces a
un montón de gente y y es y es super
brutal pero sí que es verdad como que
hay que tener mucho tacto con la gente
ya sea con profesionales o con gente que
no sea profesional da igual porque
incluso hasta más el que es más
profesional y se dga a esto le puedes
[ __ ] el día si si no sabes tratarlo
sabes si a alguien le interesa
contratarte puede no por la página web o
por Instagram nos entrado un montón de
trabajo la verdad es como más más
directo Qué te parece tío si creamos
algo venga perfecto Yo sí que verdad que
me apetece lanzarme en este caso a la
electrónica al draman base ya que es mi
genero predilecto del cual me identifico
en el que más y tengo un proyecto
personal que se llama unrest y creo que
puede ser interesante rozar un poquito
la electrónica para alejarme un pelín
del género urbano que llevo toda la
semana haciendo Así que creo que es una
buena ocasión para enseñaros algunos
trucos que también son aplicables 100% a
cualquier género 174
bpms esto vendría a ser el patrón básico
del draman base va a cambiar la caja yo
creo
vamos a ver
aquí me gusta esos dobles los bombos
estos los eliminaré y los cambiaré por y
esas cajas también
fuera vale voy a crear un patrón que me
guste a raíz de eso Cómo es el proyecto
Pues no
sé temazo en media tarde unrest media
tarde vale entonces yo lo que suelo
hacer una cosa que aprendí de Guillermo
mar si mal no recuerdo su nombre
productor de bomburri de aquí de
Zaragoza y uno de sus cursos hace un
montón de años lo aprendí y me pareció
lo mejor del curso no porque el tío es
muy técnico pero sí que es verdad que
que me pareció [ __ ] una cosa que a mí
personalmente me cambia la vida yo el
proyecto por ejemplo llamo unrest media
tarde y lo voy a guardar Entonces cuando
vayamos avanzando iremos 1.1 1.2 llegará
un momento en el que se nos habrá ido la
cabeza produciendo y habremos hecho
muchas cosas tu yo del futuro va a ver
dónde hiciste cambios gordos y
significativos para ver si necesitas ese
día volver atrás por lo que sea o para
cualquier cosa lo de final final uno
desde que se acabó eso la vida me va
mejor un redoblo porque he dejado aquí
algo
cojo que me gusta así incluso Esto sí es
una cosa que me parece bastante
interesante qué es esto pues son las
tonalidades en las cuales el subgrave
funciona mejor vale quiere decir que si
estamos trabajando en Do en dos
sostenido los subgraves van a ser muy
fangosos no se van a escuchar en en eh
en altav es Bluetooth hay que hacer lo
que cada uno sienta y le dé la gana no
pero bueno para este ejemplo me gusta
compartirlo porque sí que me parece
bastante clave e trabajar en mí en ff
sostenido o en sol es como el Sweet spot
del subgrave anisia Y decía voy a hacer
una canción en sí Solamente por tocar
los huevos por molestar porque para que
la gente no la pueda escuchar en sus
casas decían que tengan que venir al
club a sentir la canción de
verdad vamos a ver si damos con uno
guapo voy a bajar la
octava
bajo y ahora se me ha ocurrido Añadir un
plugin que me encanta y suena muy Guay y
es más viejo que M1 de corg eh
producción 2.0 estamos en la 1.0 y no
hemos
[Música]
guardado punto super importante que
quiero enseñar la técnica de Side Chain
en la electrónica que es bastante
asesina y para la música urbana también
lo uso para casi todo uso en la
actualidad un plugin que se llama Chain
shaper de la compañía noir Black lo que
hacemos es directamente linkear lo al
Kick y vamos a escuchar only baseline
and
Kick si veis el rosa o el rojo Como lo
veamos esto lo que hace es que mediante
la curva que hagamos vamos a mutear el
bajo qué nos permite esto pues ganar una
cantidad de decibelios espasmódica
Entonces nos va a quedar una mezcla
super consistente y ya de entrada vamos
a empezar a diseñar eso son Digamos si
lo he entendido bien que no hace que
suenen las dos a la vez para elinar eso
fulmina es un Side change extremo lo
fulmina y encima con la consecuencia que
podemos hacer la
curva pues tendríamos medianamente un
Drop con una dos tres cuatro pistas de
sintes una voz y unas baterías muy
sencillas y tú estro puedes trabajar Lo
que te vuelva loco increíble apuesto por
el minimalismo porque he llenado de
pistas que dicen lo mismo todo No es
necesario eh meter otra pista y si tú
quieres meter otra pista más aguda pues
métele un ecu que me parece de [ __ ]
madre y quítale agudos no recargar las
pistas y y daros cuenta que tenemos de
20 hercios a 20.000 para llenar Y eso es
una pista de baile Entonces vamos a
elegir bien a los bailarines en la pista
y que se vean bien entre ellos Entonces
creo que es importante saber mientras
producimos Mezclar un poco lo que
llamamos diseño de sonido en producción
como lo del Side Chain es una técnica de
mezcla pero a la vez es producción
porque le está generando movimiento un
movimiento una B que le aporta al tema
cierta energía pero que a la vez nos
estamos beneficiando de ella para luego
es que no hay que mezclar bombo y bajo
frecuencial gentee no hay que hacer nada
porque es que no están juntos en ningún
momento conseguimos Claridad conseguimos
profundidad y generamos movimiento
entonces creo que en la música
electrónica o como en todos los géneros
quizá más me enfoco en la electrónica
hacer este tipo de de gestos más
quirúrgicos o agresivos o creativos
también eso es una mezcla de todos y y
Funciona muy bien llevándolo a cabo para
eso es importante esto también de hacer
huequito a los High porque luego dices
madre mía he metido aquí demasiado
Entonces eso nos ayuda a reducirlo todo
y a poder llevarlo a cabo de verdad
Muchísimas gracias porque esto que
acabas de hacer ahora aquí en cuestión
de tres cuartos de hora una hora como
mucho Llevamos aquí tío increíble Bueno
espero que os haya gustado una pequeña
muestra sobre todo de de enfoque y
intento aportar un poco lo que me
hubiese gustado A mí que me hubiesen
dicho hace tiempo muchísimas gracias de
verdad a
vosotros
[Música]
B"
pt-KE7JVooc,
Sn-8R2Bd-eM,
DiJBukJvnoo,"de youtuber a Dj Qué pasa Qué ha pasado
suena raro verdad qué ha pasado tío para
poner en contexto yo antes de de ser
youtuber ya era disjokey no dis yokey
profesional pero sí que he pinchado en
algunos locales y Bueno tengo una
colección de vinilos increíble era de
esos que pinchaban en vinilo claro Oye
tipa tienes alguna anécdota o alguna
historia de contar de hace tiempo cuando
tú estabas eh Como Dj tengo muchas
anécdotas con un amigo de toda la vida
que a día de hoy sigo manteniendo
relacción es un muy buen amigo mío él
también pinchaba
decidimos
una máquina para copiar vinilos Esta es
la historia que te fuiste hasta Alemania
desde Zaragoza hasta un pueblo perdido
en Alemania para comprarle a un alemán
una máquina casera que grababa en
vinilo la máquina era muy sencilla
rudimentaria el tío las hacía caseras
Vale y era un
tocadiscos dos altavoces aquí un
diamante para rasgar el vinilo y que
haga los surcos y que suene Y eso fuimos
a
comprar investigar cómo van estos
fusibles luego volveremos investigar
dónde van tío En serio que es que luego
Bueno yo continuo con otra cosa mientras
jesú investigar dónde van todos esos
fusibles van dos ramificaciones y esta
[ __ ] qué Ya ya ya y esto por qué ya ya
ahora preguntamos a él que lo vamos a
[ __ ] así y nos lo llevamos tú crees Se
corta ahí los cables de los altavoces y
Pero esto dónde va tío esto también está
conectado esto son los V los que hemos
grabado hoy al final hemos aprendido a
grabarlo cuando haya subido Este vídeo
seguramente ya haya subido otro más mi
intención es hacer sesiones sets tengo
también otro formato de entrevistas a
productores para hacer canciones con
ellos hacer cositas muy interesantes y
otro formato en el que voy a hacer
sesiones temáticas por ejemplo una
sesión de reggaetón de 5 minutos
disfrazado de reggaetonero y dando un
poco de s una sesión de hardb que es un
estilo ruso dis a mí a mí me enseñaste
algo del tema hardb de Ruso y me quedé
flipando O
sea me da un poco de miedo porque claro
la gente puede pensar intrusismo no
muchos dis salen a hablar de esto que
ven que muchos creadores de contenido
muchos influencers mucha gente que sale
a [ __ ] que se está haciendo Dj que está
viendo mucha crítica mi opinión es que
cada uno es libre de hacer lo que quiera
y tú tienes creo que un factor
diferencial es que tú hace tiempo que
estás metido en la música tú Ya
entiendes de música has tocado incluso
música hace muchos años tendremos algún
formato algún vídeo de tipa vinilo Style
por supuesto tendré 500 600 vinilos y
tengo muchas ganas de hacer sesiones así
pero creo que las controladoras de hoy
en día ofrecen muchísimas más
posibilidades y se puede hacer magia
nuevo proyecto nuevo formato el youtuber
no muere sino seguirá creando contenido
en el canal principal yo seguiré
haciendo mis vídeos como si no hubiera
pasado nada quizás he hecho un vídeo de
click bite diciendo Adiós o algo así yo
estoy seguro que Esto va a ser un camino
largo un camino bonito gracias por
dejarme hacerte esta entrevista para mí
este nuevo proyecto me hace muy feliz
Espero que la gente lo disfrute y que
disfrute la música y y nada más que
decir"
